Name,DataType,Address,Comment [en-GB],Acquisition mode,Acquisition cycle
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_3_PID_FLOW_3,Real,%DB40.DBD288,STOKER PID AIR FLOW POINT 3,Cyclic in operation,1 s
DB PROCESS VALUES.MISCELLANEOUS.PUSH_FLOOR.OBSTR_COUNT,Real,%DB42.DBD960,CP2 PUSH FLOOR OBSTRUCTION COUNTER VALUE,Cyclic in operation,1 s
DB SEND/RECV COOLER 2.SEND.GENERAL.REMOTE_AUTO,Bool,%DB162.DBX70.6,0 = REMOTE MANUAL / 1 = REMOTE AUTO,Cyclic in operation,1 s
DB PROCESS VALUES.EMISSIONS.PRESSURE_hPa,Real,%DB42.DBD856,STACK AIR PRESSURE (hPa),Continuous,1 s
Stoker3Curves_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB MV TURB POWER METER.KW3,Real,%DB202.DBD136,ACTIVE POWER PHASE 3 (KW),Cyclic in operation,1 s
IDB CP13 FILT SCREW A DP.Load,Real,%DB547.DBD4,Motor Load in Percentage (%),Cyclic in operation,1 s
IDB CP13 RS INCLIN SCREW.Rem_Cmds.RunFwd,Bool,%DB133.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.GENERAL.FORCE_AUTO,Bool,%DB1.DBX0.0,FORCE AUTOMATIC MODE,Cyclic in operation,1 s
DB SYSTEM CONTROL.GENERAL.EQUIP_STATUS.RC_TEMP_BEL_OIL_CUTOFF,Bool,%DB30.DBX13.7,RESIDENCE CHAMBER IS BELOW OIL BURNER CUTOFF TEMPERATURE,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP17_2TT06.LO,Real,%DB41.DBD2056,LOW ALARM SETPOINT,Cyclic in operation,1 s
IDB CP3 GRATE HYD PMP 2.Rem_Cmds.RunFwd,Bool,%DB116.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
IDB CP7 PLANT PUMP 2.Rem_Cmds.RunFwd,Bool,%DB188.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
IDB CP3 SCR CHN SLID VLV.Status.Direction,Bool,%DB105.DBX21.0,"Motor Running Direction (0 = Forward, 1 = Reverse)",Cyclic in operation,1 s
DB SEND/RECV COOLER 2.RECV.GENERAL.FANS_STATUS,Int,%DB162.DBW4,COOLER FANS STATUS,Cyclic in operation,1 s
DB ALARMS TO SCADA.ANALOGUE.LO.WORD4,Int,%DB12.DBW56,LOW ALARMS - WORD 4,Continuous,1 s
DB ALARM SETPOINTS.CP17_4LC02.HI,Real,%DB41.DBD1828,HIGH ALARM SETPOINT,Cyclic in operation,1 s
IDB TON SOOTB CYCLE INT.ET,Time,%DB2088.DBD8,<No Value>,Cyclic in operation,1 s
DB SETPOINTS.PID.PRIM_FAN.OP_MAX,Real,%DB40.DBD1372,OUTPUT MAX VALUE (LMN_HLM),Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.WOOD_FEED.FUEL_DAMPER_OPN,Bool,%DB1.DBX6.6,CP3 FUEL DAMPER MANUAL OPEN SELECT (SCADA),Cyclic in operation,1 s
IDB CP13 UREA SKID SYS.Rem_Cmds.RunFwd,Bool,%DB148.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FILTER.CP13R4_S245,Bool,%DB45.DBX22.6,CP13 RACK 4 RESIDUE SILO PRESSURE SWITCH,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.WOOD_FEED.STOKER_2_MAN_MD,Bool,%DB1.DBX5.4,CP3 STOKER 2 TRAVERSE MANUAL MODE SELECT (SCADA),Cyclic in operation,1 s
3Pw481_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SEND/RECV COOLER 5.SEND.GENERAL.REMOTE_AUTO,Bool,%DB165.DBX70.6,0 = REMOTE MANUAL / 1 = REMOTE AUTO,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP18_1TT07.HIHI,Real,%DB41.DBD2240,HIGH HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB MISCELLANEOUS.INTEGERS.TURBINE.COND_PMP_2_STAT,Int,%DB1.DBW118,"CONDENSATE PUMP 2 STATUS (0 = FAULT, 1 = STOPPED, 2 = RUNNING)",Cyclic in operation,1 s
DB SETPOINTS.PID.TEMP_CTRL_STEAM_OUT.OP_MIN,Real,%DB40.DBD1606,OUTPUT MIN VALUE (LMN_LLM),Cyclic in operation,1 s
DB SYSTEM CONTROL.GENERAL.MAIN_CTRL.AIR_FANS_START,Bool,%DB30.DBX1.3,START COMBUSTION AIR FANS (FROM SCADA),Cyclic in operation,1 s
2CV07_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB PROCESS VALUES.MISCELLANEOUS.POWER.SITE_IMPORT_EXPORT_KWh,DInt,%DB42.DBD1212,SITE IMPORT / EXPORT POWER CONSUMPTION (kWh),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP13R4_3PI01a.HIHI,Real,%DB41.DBD960,HIGH HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.SOOTBLOWERS.ECONOM_2_EXT,Bool,%DB1.DBX20.0,CP8 ECONOMISER SOOTBLOWER 2 MANUAL EXTEND SELECT (SCADA),Cyclic in operation,1 s
CP17 4CV04 ACTIVE,Bool,%M144.1,CP17 DEAERATOR OVERFLOW VALVE ACTIVE,Cyclic in operation,1 s
